Matrix,Group,Distribution,AIC,Parameters
L,Common_L,gamma,11.78943161671795,"(0.13095053838113413, 10.479650947767478, 50.916659999087784)"
L,Common_L,beta,16.684467560631468,"(0.15634950534241776, 0.2691341796795597, -7.679168409332378, 198.64987127609425)"
L,Common_L,lognorm,25.855779567414743,"(6.533929041516178, 10.479650947767478, 1.7591909808658195)"
L,Common_L,expon,56.1124406887417,"(10.47965094776748, 67.44038813049454)"
L,Common_L,norm,60.95603049614365,"(77.92003907826202, 71.99988461243431)"
L,Common_L,poisson,368.43687753085936,"(78.0,)"
,,,,
L,Common_L,Results for Stop 4,,
L,Common_L,weibull_min,-20.307760413758885,"(0.07720207749706526, 3.5405753847937707, 165.86509121138266)"
L,Common_L,gamma,-15.225538264227524,"(0.07842709306368725, 3.5405753847937707, 68.97266476036489)"
L,Common_L,beta,16.621365043093103,"(1.5551224890825317, 0.5804329595257833, -108.33895162388808, 407.9003548725028)"
L,Common_L,lognorm,31.960961508107896,"(3.1723759289438203, 3.5405681549829175, 0.1696054065430191)"
L,Common_L,expon,38.28222188136332,"(3.540575384793771, 111.46422048521657)"
L,Common_L,norm,41.78484663807396,"(115.00479587001034, 131.43808529398925)"
L,Common_L,poisson,480.2156417687082,"(115.33333333333333,)"
,,,,
L,Common_L,Results for Stop 3,,
L,Common_L,weibull_min,-14.510508753759083,"(0.1782715353050971, 36.08137675604052, 62.35711765906106)"
L,Common_L,beta,-12.60617034647538,"(0.10725431501655058, 0.1629061395619107, 21.761012069630418, 169.99852177908156)"
L,Common_L,lognorm,-10.97181763914514,"(10.2835831617964, 36.08137675604052, 8.849026139079157)"
L,Common_L,gamma,7.920890825536766,"(0.507508695781623, 36.08137675604052, 32.82492250104963)"
L,Common_L,expon,34.89079725275312,"(36.08137675604053, 63.33678036278995)"
L,Common_L,norm,37.72228598249169,"(99.41815711883048, 66.78259307512222)"
L,Common_L,poisson,151.5971456566884,"(99.33333333333333,)"
,,,,
L,Common_L,Results for Stop 10,,
L,Common_L,lognorm,-7.922238159051114,"(8.575935634466358, 12.506159288493404, 8.609453967130593)"
L,Common_L,beta,-1.3728784189576864,"(0.3736141899521332, 0.44378846210727696, 10.859913350419408, 135.15089258356113)"
L,Common_L,weibull_min,12.310354349973103,"(0.6489433758514707, 12.506159288493404, 77.65708181851195)"
L,Common_L,gamma,21.202767074448293,"(0.6655701134522805, 12.506159288451041, 45.52741322051652)"
L,Common_L,expon,34.76793317272927,"(12.506159288493405, 62.05300021925157)"
L,Common_L,norm,36.5474468193893,"(74.55915950774498, 54.90673050350709)"
L,Common_L,poisson,151.58613408125396,"(74.66666666666667,)"
,,,,
L,Common_L,Results for Stop 7,,
L,Common_L,gamma,11.511912924832014,"(0.41582732916828985, 2.038557903082808, 38.69280076133482)"
